lecturaAnt,lecturaAct,fechaMedicion,consumo,pagado,total,medidor_id,diff
13,16,2021/03/20,3,1,20,1,0
15,19,2021/03/20,4,1,20,2,0
34,44,2021/03/20,10,0,40,3,5
17,21,2021/03/20,4,1,20,4,0
32,40,2021/03/20,8,1,32,5,3
30,35,2021/03/20,5,1,20,6,0
11,12,2021/03/20,1,1,20,7,0
76,112,2021/03/20,36,1,144,8,31
37,49,2021/03/20,12,1,48,9,7
29,34,2021/03/20,5,1,20,10,0
38,46,2021/03/20,8,1,32,11,3
22,28,2021/03/20,6,1,24,12,1
23,29,2021/03/20,6,1,24,13,1
19,22,2021/03/20,3,1,20,14,0
18,22,2021/03/20,4,1,20,15,0
12,14,2021/03/20,2,1,20,16,0
59,71,2021/03/20,12,1,48,17,7
19,24,2021/03/20,5,1,20,18,0
20,28,2021/03/20,8,1,32,19,3
21,28,2021/03/20,7,1,28,20,2
17,21,2021/03/20,4,1,20,21,0
0,0,2021/03/20,0,0,20,22,0
0,0,2021/03/20,0,1,20,23,0
19,24,2021/03/20,5,1,20,24,0
23,28,2021/03/20,5,1,20,25,0
21,27,2021/03/20,6,1,24,26,1
38,45,2021/03/20,7,1,28,27,2
16,18,2021/03/20,2,1,20,28,0
24,29,2021/03/20,5,1,20,29,0
35,43,2021/03/20,8,1,32,30,3
18,21,2021/03/20,3,1,20,31,0
0,0,2021/03/20,0,0,20,32,0
27,31,2021/03/20,4,1,20,33,0
9,11,2021/03/20,2,1,20,34,0
3,3,2021/03/20,0,1,20,35,0
23,29,2021/03/20,6,1,24,36,1
6,8,2021/03/20,2,1,20,37,0
43,49,2021/03/20,6,1,24,38,1
41,49,2021/03/20,8,1,32,39,3
3,6,2021/03/20,3,1,20,40,0
19,23,2021/03/20,4,1,20,41,0
56,60,2021/03/20,4,1,20,42,0
17,21,2021/03/20,4,1,20,43,0
24,29,2021/03/20,5,1,20,44,0
45,56,2021/03/20,11,1,44,45,6
102,122,2021/03/20,20,1,80,46,15
34,41,2021/03/20,7,1,28,47,2
18,20,2021/03/20,2,1,20,48,0
36,38,2021/03/20,2,1,20,49,0
106,125,2021/03/20,19,1,76,50,14
17,21,2021/03/20,4,1,20,51,0
30,38,2021/03/20,8,1,32,52,3
13,14,2021/03/20,1,1,20,53,0
5,6,2021/03/20,1,1,20,54,0
65,91,2021/03/20,26,1,104,55,21
22,28,2021/03/20,6,1,24,56,1
58,61,2021/03/20,3,1,20,57,0
111,199,2021/03/20,88,1,352,58,83
0,0,2021/03/20,0,1,20,59,0
24,31,2021/03/20,7,1,28,60,2
4,7,2021/03/20,3,1,20,61,0
36,43,2021/03/20,7,1,28,62,2
21,24,2021/03/20,3,1,20,63,0
28,31,2021/03/20,3,1,20,64,0
19,21,2021/03/20,2,1,20,65,0
9,9,2021/03/20,0,1,20,66,0
36,42,2021/03/20,6,1,24,67,1
0,0,2021/03/20,0,0,20,68,0
32,40,2021/03/20,8,1,32,69,3
99,117,2021/03/20,18,1,72,70,13
25,28,2021/03/20,3,1,20,71,0
38,44,2021/03/20,6,1,24,72,1
54,61,2021/03/20,7,1,28,73,2
35,42,2021/03/20,7,1,28,74,2
1,86,2021/03/20,85,0,340,75,80
18,19,2021/03/20,1,1,20,76,0
44,44,2021/03/20,0,0,20,77,0
1,1,2021/03/20,0,1,20,78,0
0,0,2021/03/20,0,1,20,79,0
9,11,2021/03/20,2,1,20,80,0
12,13,2021/03/20,1,1,20,81,0
9,11,2021/03/20,2,1,20,82,0
39,47,2021/03/20,8,1,32,83,3
11,18,2021/03/20,7,1,28,84,2
25,27,2021/03/20,2,1,20,85,0
4,4,2021/03/20,0,1,20,86,0
78,87,2021/03/20,9,1,36,87,4
15,16,2021/03/20,1,1,20,88,0
0,0,2021/03/20,0,1,20,89,0
44,52,2021/03/20,8,1,32,90,3
156,156,2021/03/20,0,1,20,91,0
10,12,2021/03/20,2,0,20,92,0
25,30,2021/03/20,5,1,20,93,0
30,35,2021/03/20,5,1,20,94,0
10,13,2021/03/20,3,0,20,95,0
91,106,2021/03/20,15,1,60,96,10
41,47,2021/03/20,6,1,24,97,1
77,90,2021/03/20,13,1,52,98,8
34,43,2021/03/20,9,0,36,99,4
34,42,2021/03/20,8,1,32,100,3
18,21,2021/03/20,3,1,20,101,0
22,29,2021/03/20,7,1,28,102,2
17,23,2021/03/20,6,1,24,103,1
21,27,2021/03/20,6,1,24,104,1
23,28,2021/03/20,5,1,20,105,0
0,0,2021/03/20,0,1,20,106,0
24,29,2021/03/20,5,1,20,107,0
2,4,2021/03/20,2,1,20,108,0
39,46,2021/03/20,7,1,28,109,2
37,41,2021/03/20,4,1,20,110,0
49,60,2021/03/20,11,1,44,111,6
24,36,2021/03/20,12,1,48,112,7
22,26,2021/03/20,4,1,20,113,0
24,28,2021/03/20,4,1,20,114,0
15,21,2021/03/20,6,1,24,115,1
32,36,2021/03/20,4,1,20,116,0
11,12,2021/03/20,1,1,20,117,0
20,26,2021/03/20,6,1,24,118,1
45,55,2021/03/20,10,1,40,119,5
34,39,2021/03/20,5,1,20,120,0
71,87,2021/03/20,16,1,64,121,11
46,49,2021/03/20,3,1,20,122,0
11,17,2021/03/20,6,1,24,123,1
43,49,2021/03/20,6,1,24,124,1
41,53,2021/03/20,12,1,48,125,7
7,10,2021/03/20,3,1,20,126,0
18,21,2021/03/20,3,1,20,127,0
47,61,2021/03/20,14,1,56,128,9
26,32,2021/03/20,6,1,24,129,1
5,5,2021/03/20,0,1,20,130,0
40,49,2021/03/20,9,1,36,131,4
73,81,2021/03/20,8,1,32,132,3
53,70,2021/03/20,17,1,68,133,12
40,46,2021/03/20,6,1,24,134,1
8,9,2021/03/20,1,1,20,135,0
9,13,2021/03/20,4,1,20,136,0
43,55,2021/03/20,12,1,48,137,7
50,58,2021/03/20,8,1,32,138,3
78,92,2021/03/20,14,1,56,139,9
32,35,2021/03/20,3,1,20,140,0
38,43,2021/03/20,5,1,20,141,0
59,68,2021/03/20,9,1,36,142,4
36,36,2021/03/20,0,1,20,143,0
0,3,2021/03/20,3,1,20,144,0
49,58,2021/03/20,9,1,36,145,4
5,6,2021/03/20,1,1,20,146,0
10,15,2021/03/20,5,1,20,147,0
41,46,2021/03/20,5,1,20,148,0
36,48,2021/03/20,12,1,48,149,7
32,40,2021/03/20,8,1,32,150,3
45,49,2021/03/20,4,1,20,151,0
10,11,2021/03/20,1,1,20,152,0
38,43,2021/03/20,5,1,20,153,0
39,47,2021/03/20,8,1,32,154,3
57,67,2021/03/20,10,1,40,155,5
25,28,2021/03/20,3,1,20,156,0
14,23,2021/03/20,9,1,36,157,4
53,63,2021/03/20,10,1,40,158,5
35,38,2021/03/20,3,1,20,159,0
59,70,2021/03/20,11,1,44,160,6
39,46,2021/03/20,7,1,28,161,2
25,30,2021/03/20,5,1,20,162,0
39,43,2021/03/20,4,1,20,163,0
14,18,2021/03/20,4,1,20,164,0
29,36,2021/03/20,7,1,28,165,2
47,57,2021/03/20,10,1,40,166,5
27,34,2021/03/20,7,1,28,167,2
73,83,2021/03/20,10,1,40,168,5
21,29,2021/03/20,8,1,32,169,3
24,29,2021/03/20,5,1,20,170,0
24,28,2021/03/20,4,1,20,171,0
67,78,2021/03/20,11,1,44,172,6
49,60,2021/03/20,11,1,44,173,6
0,5,2021/03/20,5,1,20,174,0
30,38,2021/03/20,8,1,32,175,3
0,1,2021/03/20,1,1,20,176,0
44,54,2021/03/20,10,1,40,177,5
29,34,2021/03/20,5,1,20,178,0
34,43,2021/03/20,9,1,36,179,4
12,15,2021/03/20,3,1,20,180,0
16,21,2021/04/25,5,1,20,1,0
19,21,2021/04/25,2,1,20,2,0
44,60,2021/04/25,16,1,64,3,11
21,31,2021/04/25,10,0,40,4,5
40,51,2021/04/25,11,1,44,5,6
35,39,2021/04/25,4,1,20,6,0
12,16,2021/04/25,4,1,20,7,0
112,124,2021/04/25,12,1,48,8,7
49,58,2021/04/25,9,1,36,9,4
34,49,2021/04/25,15,1,60,10,10
46,51,2021/04/25,5,1,20,11,0
28,34,2021/04/25,6,1,24,12,1
29,35,2021/04/25,6,1,24,13,1
22,30,2021/04/25,8,1,32,14,3
22,31,2021/04/25,9,1,36,15,4
14,19,2021/04/25,5,1,20,16,0
71,85,2021/04/25,14,1,56,17,9
24,32,2021/04/25,8,1,32,18,3
28,34,2021/04/25,6,1,24,19,1
28,35,2021/04/25,7,1,28,20,2
21,26,2021/04/25,5,1,20,21,0
0,0,2021/04/25,0,0,20,22,0
0,1,2021/04/25,1,0,20,23,0
24,31,2021/04/25,7,1,28,24,2
28,35,2021/04/25,7,1,28,25,2
27,35,2021/04/25,8,1,32,26,3
45,54,2021/04/25,9,1,36,27,4
18,22,2021/04/25,4,1,20,28,0
29,42,2021/04/25,13,0,52,29,8
43,54,2021/04/25,11,1,44,30,6
21,23,2021/04/25,2,0,20,31,0
0,0,2021/04/25,0,0,20,32,0
31,37,2021/04/25,6,1,24,33,1
11,14,2021/04/25,3,1,20,34,0
3,3,2021/04/25,0,0,20,35,0
29,36,2021/04/25,7,1,28,36,2
8,10,2021/04/25,2,1,20,37,0
49,56,2021/04/25,7,1,28,38,2
49,60,2021/04/25,11,1,44,39,6
6,7,2021/04/25,1,1,20,40,0
