fechaEmision,total,idMedicion,pagado,
2021/03/28,20,1,1,1
2021/03/28,20,2,1,2
2021/03/28,40,3,0,3
2021/03/28,20,4,1,4
2021/03/28,32,5,1,5
2021/03/28,20,6,1,6
2021/03/28,20,7,1,7
2021/03/28,144,8,1,8
2021/03/28,48,9,1,9
2021/03/28,20,10,1,10
2021/03/28,32,11,1,11
2021/03/28,24,12,1,12
2021/03/28,24,13,1,13
2021/03/28,20,14,1,14
2021/03/28,20,15,1,15
2021/03/28,20,16,1,16
2021/03/28,48,17,1,17
2021/03/28,20,18,1,18
2021/03/28,32,19,1,19
2021/03/28,28,20,1,20
2021/03/28,20,21,1,21
2021/03/28,20,22,0,22
2021/03/28,20,23,1,23
2021/03/28,20,24,1,24
2021/03/28,20,25,1,25
2021/03/28,24,26,1,26
2021/03/28,28,27,1,27
2021/03/28,20,28,1,28
2021/03/28,20,29,1,29
2021/03/28,32,30,1,30
2021/03/28,20,31,1,31
2021/03/28,20,32,0,32
2021/03/28,20,33,1,33
2021/03/28,20,34,1,34
2021/03/28,20,35,1,35
2021/03/28,24,36,1,36
2021/03/28,20,37,1,37
2021/03/28,24,38,1,38
2021/03/28,32,39,1,39
2021/03/28,20,40,1,40
2021/03/28,20,41,1,41
2021/03/28,20,42,1,42
2021/03/28,20,43,1,43
2021/03/28,20,44,1,44
2021/03/28,44,45,1,45
2021/03/28,80,46,1,46
2021/03/28,28,47,1,47
2021/03/28,20,48,1,48
2021/03/28,20,49,1,49
2021/03/28,76,50,1,50
2021/03/28,20,51,1,51
2021/03/28,32,52,1,52
2021/03/28,20,53,1,53
2021/03/28,20,54,1,54
2021/03/28,104,55,1,55
2021/03/28,24,56,1,56
2021/03/28,20,57,1,57
2021/03/28,352,58,1,58
2021/03/28,20,59,1,59
2021/03/28,28,60,1,60
2021/03/28,20,61,1,61
2021/03/28,28,62,1,62
2021/03/28,20,63,1,63
2021/03/28,20,64,1,64
2021/03/28,20,65,1,65
2021/03/28,20,66,1,66
2021/03/28,24,67,1,67
2021/03/28,20,68,0,68
2021/03/28,32,69,1,69
2021/03/28,72,70,1,70
2021/03/28,20,71,1,71
2021/03/28,24,72,1,72
2021/03/28,28,73,1,73
2021/03/28,28,74,1,74
2021/03/28,340,75,1,75
2021/03/28,20,76,1,76
2021/03/28,20,77,0,77
2021/03/28,20,78,1,78
2021/03/28,20,79,1,79
2021/03/28,20,80,1,80
2021/03/28,20,81,1,81
2021/03/28,20,82,1,82
2021/03/28,32,83,1,83
2021/03/28,28,84,1,84
2021/03/28,20,85,1,85
2021/03/28,20,86,1,86
2021/03/28,36,87,1,87
2021/03/28,20,88,1,88
2021/03/28,20,89,1,89
2021/03/28,32,90,1,90
2021/03/28,20,91,1,91
2021/03/28,20,92,0,92
2021/03/28,20,93,1,93
2021/03/28,20,94,1,94
2021/03/28,20,95,0,95
2021/03/28,60,96,1,96
2021/03/28,24,97,1,97
2021/03/28,52,98,1,98
2021/03/28,36,99,1,99
2021/03/28,32,100,1,100
2021/03/28,20,101,1,101
2021/03/28,28,102,1,102
2021/03/28,24,103,1,103
2021/03/28,24,104,1,104
2021/03/28,20,105,1,105
2021/03/28,20,106,1,106
2021/03/28,20,107,1,107
2021/03/28,20,108,1,108
2021/03/28,28,109,1,109
2021/03/28,20,110,1,110
2021/03/28,44,111,1,111
2021/03/28,48,112,1,112
2021/03/28,20,113,1,113
2021/03/28,20,114,1,114
2021/03/28,24,115,1,115
2021/03/28,20,116,1,116
2021/03/28,20,117,1,117
2021/03/28,24,118,1,118
2021/03/28,40,119,1,119
2021/03/28,20,120,1,120
2021/03/28,64,121,1,121
2021/03/28,20,122,1,122
2021/03/28,24,123,1,123
2021/03/28,24,124,1,124
2021/03/28,48,125,1,125
2021/03/28,20,126,1,126
2021/03/28,20,127,1,127
2021/03/28,56,128,1,128
2021/03/28,24,129,1,129
2021/03/28,20,130,1,130
2021/03/28,36,131,1,131
2021/03/28,32,132,1,132
2021/03/28,68,133,1,133
2021/03/28,24,134,1,134
2021/03/28,20,135,1,135
2021/03/28,20,136,1,136
2021/03/28,48,137,1,137
2021/03/28,32,138,1,138
2021/03/28,56,139,1,139
2021/03/28,20,140,1,140
2021/03/28,20,141,1,141
2021/03/28,36,142,1,142
2021/03/28,20,143,1,143
2021/03/28,20,144,1,144
2021/03/28,36,145,1,145
2021/03/28,20,146,1,146
2021/03/28,20,147,1,147
2021/03/28,20,148,1,148
2021/03/28,48,149,1,149
2021/03/28,32,150,1,150
2021/03/28,20,151,1,151
2021/03/28,20,152,1,152
2021/03/28,20,153,1,153
2021/03/28,32,154,1,154
2021/03/28,40,155,1,155
2021/03/28,20,156,1,156
2021/03/28,36,157,1,157
2021/03/28,40,158,1,158
2021/03/28,20,159,1,159
2021/03/28,44,160,1,160
2021/03/28,28,161,1,161
2021/03/28,20,162,1,162
2021/03/28,20,163,1,163
2021/03/28,20,164,1,164
2021/03/28,28,165,1,165
2021/03/28,40,166,1,166
2021/03/28,28,167,1,167
2021/03/28,40,168,1,168
2021/03/28,32,169,1,169
2021/03/28,20,170,1,170
2021/03/28,20,171,1,171
2021/03/28,44,172,1,172
2021/03/28,44,173,1,173
2021/03/28,20,174,1,174
2021/03/28,32,175,1,175
2021/03/28,20,176,1,176
2021/03/28,40,177,1,177
2021/03/28,20,178,1,178
2021/03/28,36,179,1,179
2021/03/28,20,180,1,180
2021/04/25,20,181,1,1
2021/04/25,20,182,1,2
2021/04/25,64,183,1,3
2021/04/25,40,184,1,4
2021/04/25,44,185,1,5
2021/04/25,20,186,1,6
2021/04/25,20,187,1,7
2021/04/25,48,188,1,8
2021/04/25,36,189,1,9
2021/04/25,60,190,1,10
2021/04/25,20,191,1,11
2021/04/25,24,192,1,12
2021/04/25,24,193,1,13
2021/04/25,32,194,1,14
2021/04/25,36,195,1,15
2021/04/25,20,196,1,16
2021/04/25,56,197,1,17
2021/04/25,32,198,1,18
2021/04/25,24,199,1,19
2021/04/25,28,200,1,20
2021/04/25,20,201,1,21
2021/04/25,20,202,0,22
2021/04/25,20,203,0,23
2021/04/25,28,204,1,24
2021/04/25,28,205,1,25
2021/04/25,32,206,1,26
2021/04/25,36,207,1,27
2021/04/25,20,208,1,28
2021/04/25,52,209,0,29
2021/04/25,44,210,1,30
2021/04/25,20,211,0,31
2021/04/25,20,212,0,32
2021/04/25,24,213,1,33
2021/04/25,20,214,1,34
2021/04/25,20,215,0,35
2021/04/25,28,216,1,36
2021/04/25,20,217,1,37
2021/04/25,28,218,1,38
2021/04/25,44,219,1,39
2021/04/25,20,220,1,40
2021/04/25,20,221,0,41
2021/04/25,44,222,1,42
2021/04/25,20,223,1,43
